SeedlingID,Height,Width,Intersect,Plant_Area,Image_ID_Portrait,Processed_Image_ID_Portrait,Date,Project,Depth,Plant_ellipsoid,Image_ID_Overview,Processed_Image_ID_Overview
353,4.8,3.4,3.8,8.16,DSC_0169.JPG,Processed_DSC_0169.JPG,10/17/19,HF,NA,NA,NA,NA
609,4.2,2.7,3.7,5.67,DSC_0169.JPG,Processed_DSC_0169.JPG,10/17/19,HF,NA,NA,NA,NA
1003,5.2,2.8,4.6,7.28,DSC_0169.JPG,Processed_DSC_0169.JPG,10/17/19,HF,NA,NA,NA,NA
130,4.8,2.6,3,6.24,DSC_0170.JPG,Processed_DSC_0170.JPG,10/17/19,HF,NA,NA,NA,NA
761,3,1.5,0,2.25,DSC_0170.JPG,Processed_DSC_0170.JPG,10/17/19,HF,NA,NA,NA,NA
1170,7.7,2.8,5.5,10.78,DSC_0170.JPG,Processed_DSC_0170.JPG,10/17/19,HF,NA,NA,NA,NA
809,5.4,2.5,4.8,6.75,DSC_0170.JPG,Processed_DSC_0170.JPG,10/17/19,HF,NA,NA,NA,NA
712,4.7,1.8,3.5,4.23,DSC_0170.JPG,Processed_DSC_0170.JPG,10/17/19,HF,NA,NA,NA,NA
230,3.7,3.1,2.9,5.735,DSC_0171.JPG,Processed_DSC_0171.JPG,10/17/19,HF,NA,NA,NA,NA
605,4.3,2.4,3.4,5.16,DSC_0171.JPG,Processed_DSC_0171.JPG,10/17/19,HF,NA,NA,NA,NA
749,3.4,2.2,2.6,3.74,DSC_0171.JPG,Processed_DSC_0171.JPG,10/17/19,HF,NA,NA,NA,NA
833,2.7,2.9,2.1,3.915,DSC_0171.JPG,Processed_DSC_0171.JPG,10/17/19,HF,NA,NA,NA,NA
768,5.2,2.4,3.9,6.24,DSC_0171.JPG,Processed_DSC_0171.JPG,10/17/19,HF,NA,NA,NA,NA
904,3,1.1,0,1.65,DSC_0172.JPG,Processed_DSC_0172.JPG,10/17/19,HF,NA,NA,NA,NA
961,6.7,3.3,5,11.055,DSC_0172.JPG,Processed_DSC_0172.JPG,10/17/19,HF,NA,NA,NA,NA
788,2.1,1.6,0,1.68,DSC_0172.JPG,Processed_DSC_0172.JPG,10/17/19,HF,NA,NA,NA,NA
415,4.3,3,3.2,6.45,DSC_0172.JPG,Processed_DSC_0172.JPG,10/17/19,HF,NA,NA,NA,NA
1177,7.8,2.4,4.9,9.36,DSC_0172.JPG,Processed_DSC_0172.JPG,10/17/19,HF,NA,NA,NA,NA
20,4.4,3.6,3.4,7.92,DSC_0173.JPG,Processed_DSC_0173.JPG,10/17/19,HF,NA,NA,NA,NA
434,6.4,2.4,5.4,7.68,DSC_0173.JPG,Processed_DSC_0173.JPG,10/17/19,HF,NA,NA,NA,NA
808,2.5,2,0,2.5,DSC_0173.JPG,Processed_DSC_0173.JPG,10/17/19,HF,NA,NA,NA,NA
235,4.3,2.8,3.2,6.02,DSC_0173.JPG,Processed_DSC_0173.JPG,10/17/19,HF,NA,NA,NA,NA
583,3.3,1.6,2.4,2.64,DSC_0173.JPG,Processed_DSC_0173.JPG,10/17/19,HF,NA,NA,NA,NA
513,5.4,1.8,4.1,4.86,DSC_0174.JPG,Processed_DSC_0174.JPG,10/17/19,HF,NA,NA,NA,NA
522,4.9,2.2,4.2,5.39,DSC_0174.JPG,Processed_DSC_0174.JPG,10/17/19,HF,NA,NA,NA,NA
485,3.8,2.1,3.3,3.99,DSC_0174.JPG,Processed_DSC_0174.JPG,10/17/19,HF,NA,NA,NA,NA
1037,6.7,3.1,2.2,10.385,DSC_0174.JPG,Processed_DSC_0174.JPG,10/17/19,HF,NA,NA,NA,NA
1058,5.1,2.6,3.3,6.63,DSC_0174.JPG,Processed_DSC_0174.JPG,10/17/19,HF,NA,NA,NA,NA
1138,8.1,2.6,4.9,10.53,DSC_0175.JPG,Processed_DSC_0175.JPG,10/17/19,HF,NA,NA,NA,NA
86,4.3,3.7,2.5,7.955,DSC_0175.JPG,Processed_DSC_0175.JPG,10/17/19,HF,NA,NA,NA,NA
1029,4.7,3,2.5,7.05,DSC_0175.JPG,Processed_DSC_0175.JPG,10/17/19,HF,NA,NA,NA,NA
693,10.1,3,7.3,15.15,DSC_0175.JPG,Processed_DSC_0175.JPG,10/17/19,HF,NA,NA,NA,NA
934,5.8,3.5,3.7,10.15,DSC_0175.JPG,Processed_DSC_0175.JPG,10/17/19,HF,NA,NA,NA,NA
378,4.5,3.3,3.4,7.425,DSC_0176.JPG,Processed_DSC_0176.JPG,10/17/19,HF,NA,NA,NA,NA
313,5.6,3.5,3.9,9.8,DSC_0176.JPG,Processed_DSC_0176.JPG,10/17/19,HF,NA,NA,NA,NA
391,5.2,2.9,3.6,7.54,DSC_0176.JPG,Processed_DSC_0176.JPG,10/17/19,HF,NA,NA,NA,NA
544,3.4,2.6,2.4,4.42,DSC_0176.JPG,Processed_DSC_0176.JPG,10/17/19,HF,NA,NA,NA,NA
